COD_TIPO,COD_BE,ORD_TIPO,NOMBRE50,NOMBRE105,OBSERVACIONES,CODIGOCIF,SIGLAVIA,NOMBREVIA,NUMEROVIA,RESTODOM,CODPOSTAL,POBLACION,PROVINCIA,CODPAIS,SERVTASA,TELEFONO,PENDBAJA,NUMFAX,DIRINTERNET,FCHBAJA,MOTBAJA,CODENTSUC,FECHACTUALIZA,FECHAALTA,CODAUT,CODPROV,NOMCOMERCIAL,INDICATIVONC,NOMENTMATRIZ,DIRENTMATRIZ,LOCENTMATRIZ,CPENTMATRIZ,TELENTMATRIZ,FAXENTMATRIZ,INTERNETENTMATRIZ,COD_AUTONOMIA,NOMBRE105_ENT_SUC,NOMBRE35,ANAGRAMA,CODPAISMATRIZ,DESC_VARIACION,SALVAGUARDA,EXCLUSIVIDAD,CORTE_REGISTRAL,CODIGO_LEI,COD_BE_PREVIO,AGRUPACIONGEO,BIC
CC,3001,40000,"CAJA R. DE ALMENDRALEJO, S.C.C.","CAJA RURAL DE ALMENDRALEJO, SOCIEDAD COOPERATIVA DE CREDITO",,F06004816,PZ,DE SAN ANTONIO,S/N,,6200,ALMENDRALEJO,BADAJOZ,ES,,0924670371,,0924664311,WWW.CAJALMENDRALEJO.COM,,,0000,11/11/2014,25/03/1971,,06,,N,,,,,,,,10,,"CAJA R. DE ALMENDRALEJO, S.C.C.",CR ALMENDRALEJO,ES,,,,,95980020140005937353,0000,,BCOEESMM001
CC,3005,40000,"CAJA R. CENTRAL, S.C.C.","CAJA RURAL CENTRAL, SOCIEDAD COOPERATIVA DE CREDITO",,F03014677,CL,JOSE MARIA SARGET,29,,3300,ORIHUELA,ALICANTE,ES,,0966747800,,0965300975,WWW.RURALCENTRAL.ES,,,0000,28/10/2015,29/03/1971,,03,,N,,,,,,,,15,,"CAJA R. CENTRAL, S.C.C.",C.R. CENTRAL,ES,,,,,95980020140005487079,0000,,BCOEESMM005
CC,3007,40000,"CAJA R. DE GIJON, S.C. ASTURIANA DE CREDITO","CAJA RURAL DE GIJON, SOCIEDAD COOPERATIVA ASTURIANA DE CREDITO",,F33604455,PS,INFANCIA,10,,33207,GIJON,ASTURIAS,ES,,0985180401,,0985180402,WWW.RURALVIA.COM/GIJON,,,0000,21/09/2015,25/03/1971,,33,,N,,,,,,,,03,,"CAJA R. DE GIJON, S.C.A.C.",C.R. DE GIJON,ES,CAMBIO DE DENOMINACION,,,N,95980020140005480580,0000,,BCOEESMM007
CA,2045,30000,CAJA DE AHORROS Y M.P. DE ONTINYENT,CAJA DE AHORROS Y MONTE DE PIEDAD DE ONTINYENT,,G46002796,PZ,SANTO DOMINGO,24,,46870,ONTINYENT,VALENCIA,ES,,0962919100,,0962387003,WWW.CAIXAONTINYENT.ES,,,0000,28/11/2014,15/01/1931,,46,,N,,,,,,,,15,,CAJA DE AHORROS Y M.P. ONTINYENT,CAJA ONTINYENT,ES,,,,,95980020140005436542,0000,,
CA,2056,30000,COLONYA - CAIXA D'ESTALVIS DE POLLENSA,COLONYA - CAIXA D'ESTALVIS DE POLLENSA,,G07000045,PZ,MAYOR,7,,7460,POLLENSA,ILLES BALEARS,ES,,0971530162,,0971530409,WWW.COLONYA.ES,,,0000,24/10/2014,17/02/1958,,07,COLONYA,S,,,,,,,,04,,COLONYA-CAIXA D'ESTALVIS POLLENSA,COLONYA,ES,,,,,95980020140006025332,0000,,
CO,1000,10000,INSTITUTO DE CREDITO OFICIAL,INSTITUTO DE CREDITO OFICIAL,,Q2876002C,PS,DEL PRADO,4,,28014,MADRID,,ES,,0915921600,,0915921700,,,,0000,21/11/2014,13/01/1989,,28,ICO,S,,,,,,,,12,,INSTITUTO DE CREDITO OFICIAL,ICO,ES,,,,,PJQDPSI1D8J2Q1IM3G17,0000,,ICROESMMXXX
BP,0003,20000,"BANCO DE DEPOSITOS, S.A.","BANCO DE DEPOSITOS, S.A.",,A07001027,CL,JOSE ORTEGA Y GASSET,29,,28006,MADRID,,ES,,0914352175,,0915752296,,,,0000,10/12/2014,14/06/1950,,28,,N,,,,,,,,12,,"BANCO DE DEPOSITOS, S.A.",B. DEPOSITOS,ES,,,,,5493007LK0D8SKLLH161,0000,,BDEPESM1XXX
BP,0011,20000,"ALLFUNDS BANK, S.A.","ALLFUNDS BANK, S.A.",,A41001371,CL,ESTAFETA,6,LA MORALEJA,28109,ALCOBENDAS,MADRID,ES,,0912746400,,0912746464,WWW.ALLFUNDSBANK.COM,,,0000,29/03/2017,17/03/1947,,28,,N,,,,,,,,12,,"ALLFUNDS BANK, S.A.",ALLFUNDS BANK,ES,,,,,95980020140005844330,0000,,ALLFESMMXXX
BP,0019,20000,"DEUTSCHE BANK, S.A.E.","DEUTSCHE BANK, SOCIEDAD ANONIMA ESPAÑOLA",,A08000614,PS,DE LA CASTELLANA,18,,28046,MADRID,,ES,,0913355800,,,WWW.DEUTSCHE-BANK.ES,,,0000,24/03/2017,11/05/1949,,28,DB-S.A.E.,S,,,,,,,,12,,"DEUTSCHE BANK, S.A.E.",DB-S.A.E.,ES,,,,,529900SICIK5OVMVY186,0000,,DEUTESBBXXX
BP,0036,20000,"SANTANDER INVESTMENT, S.A.","SANTANDER INVESTMENT, S.A.",,A08161507,AV,DE CANTABRIA,S/N,CIUDAD GR. SANTANDER,28660,BOADILLA DEL MONTE,MADRID,ES,,0912893400,,0912571817,,,,0000,01/12/2014,17/03/1947,,28,,N,,,,,,,,12,,"SANTANDER INVESTMENT, S.A.",SANTANDER INV.,ES,,,,,959800PF0SJV8TSAB140,0000,,SABNESMMXXX
